fund_number,fund_name,price_date,price,guarantee,guarantee_type,fund_ind,hr_indicator,aegon_fund,M1,M2,M3
163,0,01/01/2023,1.0,0,0,0,0,0,1.0,1.0,1.0
164,0,01/01/2023,1.0,0,0,0,0,0,1.0,1.0,1.0
165,0,01/01/2023,1.0,0,0,0,0,0,1.0,1.0,1.0
166,0,01/01/2023,1.0,0,0,0,0,0,1.0,1.0,1.0
167,0,01/01/2023,1.0,0,0,0,0,0,1.0,1.0,1.0
168,0,01/01/2023,1.0,0,0,0,0,0,1.0,1.0,1.0
169,0,01/01/2023,1.0,0,0,0,0,0,1.0,1.0,1.0
170,0,01/01/2023,1.0,0,0,0,0,0,1.0,1.0,1.0
171,0,01/01/2023,1.0,0,0,0,0,0,1.0,1.0,1.0
172,0,01/01/2023,1.0,0,0,0,0,0,1.0,1.0,1.0
173,0,01/01/2023,1.0,0,0,0,0,0,1.0,1.0,1.0
174,BNPParibasGlobalHighIncomeEqFund,01/01/2023,1.0,0,0,2,0,0,1.0091843421082898,1.030243293843703,1.0100110024107194
175,ParvestEquityUSAGrowthCCUSD,01/01/2023,1.0,0,0,2,0,0,1.0742703615657199,1.0818238730119307,1.027452760088521
176,0,01/01/2023,1.0,0,0,0,0,0,1.0,1.0,1.0
177,ParvestBestSelectionExJapanCA,01/01/2023,1.0,0,0,2,0,0,1.0675971091891805,0.999522578682369,0.9963126198559977
178,ParvestEqu-LatinAmer-CC,01/01/2023,1.0,0,0,2,0,0,1.0708934377978359,1.033126086225262,1.0303383098205725
179,ParvestBondWorld-CC,01/01/2023,1.0,0,0,0,0,0,1.0238869433974283,1.0085639254666239,0.984644993639852
180,ParvestBondUSD-CC,01/01/2023,1.0,0,0,0,0,0,0.9881071976607075,1.004645370525355,1.086031070701287
181,ParvestBondWorldHighYield-CD,01/01/2023,1.0,0,0,0,0,0,1.0321291827693047,1.015178330840166,1.0349648807017713
182,0,01/01/2023,1.0,0,0,0,0,0,1.0,1.0,1.0
183,TNTEXPRESSNV,01/01/2023,1.0,0,0,2,0,0,1.0,1.0,1.0
184,POSTNL,01/01/2023,1.0,0,0,2,0,0,1.1284928540310315,0.974413175113956,1.037623154501438
185,AEGONEquityEuropeFund,01/01/2023,1.0,0,0,2,0,1,1.0689742952264099,1.086697245375393,1.086697245375393
186,0,01/01/2023,1.0,0,0,0,0,0,1.0,1.0,1.0
