model,fund_number,fund_name,column1,column2,column3,column4,column5,column6,column7,column8,column9,column10,column11
MM,37,-,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MM,38,-,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MM,39,-,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SB,1,Aandelen_Fund,0.0039,0.0,0.0,0.00203,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SB,2,Rente_Fund,0.0039,0.0,0.0,0.001412,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SB,3,Mix_Fund,0.0051,0.0,0.0,0.001761375,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SB,4,Vastgoed_Fund,0.0051,0.0,0.0,0.00203,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SB,5,Deposito_Fund,0.0015,0.0,0.0,0.001412,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SB,6,IndexPlus_Fund,0.0027,0.0,0.0,0.00203,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SB,7,Emerging_Markets_Fund,0.0063,0.0,0.0,0.00203,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SB,8,GarantiePlus,0.0015,0.0,0.0,0.001412,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SB,9,-,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SB,10,Levensloop_HR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SB,11,Equity_Holland,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SB,12,-,0.0,0.0,0.0,0.00203,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SB,13,-,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SB,14,-,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SB,15,-,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SB,16,-,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
