prodboomcd,policy_year,value
Spaarbeurs,40,0.5
Spaarbeurs,41,0.5
Spaarbeurs,42,0.5
Spaarbeurs,43,0.5
Spaarbeurs,44,0.5
Spaarbeurs,45,0.5
Spaarbeurs,46,0.5
Spaarbeurs,47,0.5
Spaarbeurs,48,0.5
Spaarbeurs,49,0.5
Spaarbeurs,50,0.5
Spaarbeurs,51,0.5
Spaarbeurs,52,0.5
Spaarbeurs,53,0.5
Spaarbeurs,54,0.5
Spaarbeurs,55,0.5
Spaarbeurs,56,0.5
Spaarbeurs,57,0.5
Spaarbeurs,58,0.5
Spaarbeurs,59,0.5
Spaarbeurs,60,0.5
Spaarbeurs,61,0.5
Spaarbeurs,62,0.5
Spaarbeurs,63,0.5
Spaarbeurs,64,0.5
Spaarbeurs,65,0.5
Spaarbeurs,66,0.5
Spaarbeurs,67,0.5
Spaarbeurs,68,0.5
Spaarbeurs,69,0.5
Spaarbeurs,70,0.5
Spaarbeurs,71,0.5
Spaarbeurs,72,0.5
Spaarbeurs,73,0.5
Spaarbeurs,74,0.5
Spaarbeurs,75,0.5
Spaarbeurs,76,0.5
Spaarbeurs,77,0.5
Spaarbeurs,78,0.5
Spaarbeurs,79,0.5
Spaarbeurs,80,0.5
Spaarbeurs,81,0.5
Spaarbeurs,82,0.5
Spaarbeurs,83,0.5
Spaarbeurs,84,0.5
Spaarbeurs,85,0.5
Spaarbeurs,86,0.5
Spaarbeurs,87,0.5
Spaarbeurs,88,0.5
Spaarbeurs,89,0.5
Spaarbeurs,90,0.5
Spaarbeurs,91,0.5
Spaarbeurs,92,0.5
Spaarbeurs,93,0.5
Spaarbeurs,94,0.5
Spaarbeurs,95,0.5
Spaarbeurs,96,0.5
Spaarbeurs,97,0.5
Spaarbeurs,98,0.5
Spaarbeurs,99,0.5
Spaarbeurs,100,0.5
Spaarbeurs,101,0.5
Spaarbeurs,102,0.5
Spaarbeurs,103,0.5
Spaarbeurs,104,0.5
Spaarbeurs,105,0.5
Spaarbeurs,106,0.5
Spaarbeurs,107,0.5
Spaarbeurs,108,0.5
Spaarbeurs,109,0.5
Spaarbeurs,110,0.5
Spaarbeurs,111,0.5
Spaarbeurs,112,0.5
Spaarbeurs,113,0.5
Spaarbeurs,114,0.5
Spaarbeurs,115,0.5
Spaarbeurs,116,0.5
Spaarbeurs,117,0.5
Spaarbeurs,118,0.5
Spaarbeurs,119,0.5
Spaarbeurs,120,0.5
Z_W,0,0.0
Z_W,1,0.5
Z_W,2,0.5
Z_W,3,0.5
Z_W,4,0.5
Z_W,5,0.5
Z_W,6,0.5
Z_W,7,0.5
Z_W,8,0.5
Z_W,9,0.5
Z_W,10,0.5
Z_W,11,0.5
