runkey,scenarioname,type,maturityidentifier,rate,sortcol
DNB_LTG,SII_T_DNB_termstructure_alternative,monthlyforward,279M,0.016281949256,279
DNB_LTG,SII_T_DNB_termstructure_alternative,monthlyforward,280M,0.016266042033,280
DNB_LTG,SII_T_DNB_termstructure_alternative,monthlyforward,281M,0.016257087411,281
DNB_LTG,SII_T_DNB_termstructure_alternative,monthlyforward,282M,0.016255122851,282
DNB_LTG,SII_T_DNB_termstructure_alternative,monthlyforward,283M,0.016260186051,283
DNB_LTG,SII_T_DNB_termstructure_alternative,monthlyforward,284M,0.016272314994,284
DNB_LTG,SII_T_DNB_termstructure_alternative,monthlyforward,285M,0.016291547986,285
DNB_LTG,SII_T_DNB_termstructure_alternative,monthlyforward,286M,0.016317923705,286
DNB_LTG,SII_T_DNB_termstructure_alternative,monthlyforward,287M,0.016351481247,287
DNB_LTG,SII_T_DNB_termstructure_alternative,monthlyforward,288M,0.016392260168,288
DNB_LTG,SII_T_DNB_termstructure_alternative,monthlyforward,289M,0.016545016297,289
DNB_LTG,SII_T_DNB_termstructure_alternative,monthlyforward,290M,0.016761893926,290
DNB_LTG,SII_T_DNB_termstructure_alternative,monthlyforward,291M,0.016913938727,291
DNB_LTG,SII_T_DNB_termstructure_alternative,monthlyforward,292M,0.017000763787,292
DNB_LTG,SII_T_DNB_termstructure_alternative,monthlyforward,293M,0.01702198692,293
DNB_LTG,SII_T_DNB_termstructure_alternative,monthlyforward,294M,0.016977234365,294
DNB_LTG,SII_T_DNB_termstructure_alternative,monthlyforward,295M,0.016866144556,295
DNB_LTG,SII_T_DNB_termstructure_alternative,monthlyforward,296M,0.01668837197,296
DNB_LTG,SII_T_DNB_termstructure_alternative,monthlyforward,297M,0.016443591025,297
DNB_LTG,SII_T_DNB_termstructure_alternative,monthlyforward,298M,0.01613150004,298
DNB_LTG,SII_T_DNB_termstructure_alternative,monthlyforward,299M,0.01575182524,299
DNB_LTG,SII_T_DNB_termstructure_alternative,monthlyforward,300M,0.015304324806,300
DNB_LTG,SII_T_DNB_termstructure_alternative,monthlyforward,301M,0.014818550905,301
DNB_LTG,SII_T_DNB_termstructure_alternative,monthlyforward,302M,0.014380400076,302
DNB_LTG,SII_T_DNB_termstructure_alternative,monthlyforward,303M,0.014003308275,303
DNB_LTG,SII_T_DNB_termstructure_alternative,monthlyforward,304M,0.013687532624,304
DNB_LTG,SII_T_DNB_termstructure_alternative,monthlyforward,305M,0.013433324358,305
DNB_LTG,SII_T_DNB_termstructure_alternative,monthlyforward,306M,0.013240931985,306
DNB_LTG,SII_T_DNB_termstructure_alternative,monthlyforward,307M,0.013110604508,307
DNB_LTG,SII_T_DNB_termstructure_alternative,monthlyforward,308M,0.013042594679,308
