prodboomcd,policy_year,value
AOWPRIVEPLAN,3,0.38554458
AOWPRIVEPLAN,4,0.428613961
AOWPRIVEPLAN,5,0.476494645
AOWPRIVEPLAN,6,0.529724104
AOWPRIVEPLAN,7,0.588899853
AOWPRIVEPLAN,8,0.654686155
AOWPRIVEPLAN,9,0.727821478
AOWPRIVEPLAN,10,0.809126785
AOWPRIVEPLAN,11,0.89951475
AOWPRIVEPLAN,12,1.0
AOWPRIVEPLAN,13,1.111710508
AOWPRIVEPLAN,14,1.235900255
AOWPRIVEPLAN,15,1.3739633
AOWPRIVEPLAN,16,1.527449439
AOWPRIVEPLAN,17,1.698081593
AOWPRIVEPLAN,18,1.887775151
AOWPRIVEPLAN,19,2.098659472
AOWPRIVEPLAN,20,2.333101789
AOWPRIVEPLAN,21,2.88639551
AOWPRIVEPLAN,22,2.88639551
AOWPRIVEPLAN,23,2.88639551
AOWPRIVEPLAN,24,2.88639551
AOWPRIVEPLAN,25,2.88639551
AOWPRIVEPLAN,26,2.88639551
AOWPRIVEPLAN,27,2.88639551
AOWPRIVEPLAN,28,2.88639551
AOWPRIVEPLAN,29,2.88639551
AOWPRIVEPLAN,30,2.88639551
AOWPRIVEPLAN,31,2.88639551
AOWPRIVEPLAN,32,2.88639551
AOWPRIVEPLAN,33,2.88639551
AOWPRIVEPLAN,34,2.88639551
AOWPRIVEPLAN,35,2.88639551
AOWPRIVEPLAN,36,2.88639551
AOWPRIVEPLAN,37,2.88639551
AOWPRIVEPLAN,38,2.88639551
AOWPRIVEPLAN,39,2.88639551
AOWPRIVEPLAN,40,2.88639551
AOWPRIVEPLAN,41,2.88639551
ASH,0,1.0
ASH,1,1.0
ASH,2,1.0
ASH,3,1.0
ASH,4,1.0
ASH,5,0.892648692
ASH,6,0.952580186
ASH,7,1.016535418
ASH,8,1.084784536
ASH,9,1.157615829
ASH,10,1.235336938
ASH,11,1.318276161
ASH,12,1.406783836
ASH,13,1.501233823
ASH,14,1.602025083
ASH,15,1.709583362
ASH,16,1.824362991
ASH,17,1.946848804
ASH,18,2.077558185
ASH,19,2.217043256
ASH,20,2.365893208
ASH,21,2.52473679
ASH,22,2.694244963
ASH,23,2.875133736
ASH,24,3.068167191
ASH,25,3.274160709
ASH,26,3.493984415
ASH,27,3.728566854
ASH,28,3.978898911
ASH,29,4.246037999
ASH,30,4.531112525
ASH,31,4.531112525
ASH,32,4.531112525
ASH,33,4.531112525
ASH,34,4.531112525
ASH,35,4.531112525
ASH,36,4.531112525
ASH,37,4.531112525
ASH,38,4.531112525
ASH,39,4.531112525
ASH,40,4.531112525
ASH,41,4.531112525
BEDRIJVEN,0,0.040719222
BEDRIJVEN,1,0.38263101
BEDRIJVEN,2,0.346803037
BEDRIJVEN,3,0.38554458
BEDRIJVEN,4,0.428613961
BEDRIJVEN,5,0.476494645
BEDRIJVEN,6,0.529724104
BEDRIJVEN,7,0.588899853
BEDRIJVEN,8,0.654686155
BEDRIJVEN,9,0.727821478
BEDRIJVEN,10,0.809126785
BEDRIJVEN,11,0.89951475
BEDRIJVEN,12,1.0
BEDRIJVEN,13,1.111710508
BEDRIJVEN,14,1.235900255
BEDRIJVEN,15,1.3739633
BEDRIJVEN,16,1.527449439
BEDRIJVEN,17,1.698081593
BEDRIJVEN,18,1.887775151
BEDRIJVEN,19,2.098659472
BEDRIJVEN,20,2.333101789
BEDRIJVEN,21,2.88639551
BEDRIJVEN,22,2.88639551
BEDRIJVEN,23,2.88639551
BEDRIJVEN,24,2.88639551
BEDRIJVEN,25,2.88639551
BEDRIJVEN,26,2.88639551
BEDRIJVEN,27,2.88639551
BEDRIJVEN,28,2.88639551
BEDRIJVEN,29,2.88639551
BEDRIJVEN,30,2.88639551
BEDRIJVEN,31,2.88639551
BEDRIJVEN,32,2.88639551
BEDRIJVEN,33,2.88639551
BEDRIJVEN,34,2.88639551
BEDRIJVEN,35,2.88639551
BEDRIJVEN,36,2.88639551
BEDRIJVEN,37,2.88639551
BEDRIJVEN,38,2.88639551
BEDRIJVEN,39,2.88639551
BEDRIJVEN,40,2.88639551
BEDRIJVEN,41,2.88639551
BUDGETFONDS,0,0.040719222
BUDGETFONDS,1,0.38263101
BUDGETFONDS,2,0.346803037
BUDGETFONDS,3,0.38554458
BUDGETFONDS,4,0.428613961
BUDGETFONDS,5,0.476494645
BUDGETFONDS,6,0.529724104
BUDGETFONDS,7,0.588899853
BUDGETFONDS,8,0.654686155
BUDGETFONDS,9,0.727821478
BUDGETFONDS,10,0.809126785
BUDGETFONDS,11,0.89951475
BUDGETFONDS,12,1.0
BUDGETFONDS,13,1.111710508
BUDGETFONDS,14,1.235900255
BUDGETFONDS,15,1.3739633
BUDGETFONDS,16,1.527449439
BUDGETFONDS,17,1.698081593
BUDGETFONDS,18,1.887775151
BUDGETFONDS,19,2.098659472
BUDGETFONDS,20,2.333101789
BUDGETFONDS,21,2.88639551
BUDGETFONDS,22,2.88639551
BUDGETFONDS,23,2.88639551
BUDGETFONDS,24,2.88639551
BUDGETFONDS,25,2.88639551
BUDGETFONDS,26,2.88639551
BUDGETFONDS,27,2.88639551
BUDGETFONDS,28,2.88639551
BUDGETFONDS,29,2.88639551
BUDGETFONDS,30,2.88639551
BUDGETFONDS,31,2.88639551
BUDGETFONDS,32,2.88639551
BUDGETFONDS,33,2.88639551
BUDGETFONDS,34,2.88639551
BUDGETFONDS,35,2.88639551
BUDGETFONDS,36,2.88639551
