model,count,fund_name,composite,weight
FP,11,WorldEqVz_Total,ESG.COFspread,1.0
FP,12,DepVz_Total,ESG.COFspread,1.0
FP,13,EuEqVz_Total,ESG.COFspread,1.0
FP,14,EmVz_Total,ESG.COFspread,1.0
FP,15,HolEqVz_Total,ESG.COFspread,1.0
FP,16,HypVz_Total,ESG.COFspread,1.0
FP,17,NamEqABVz_Total,ESG.COFspread,1.0
FP,18,PacEqVz_Total,ESG.COFspread,1.0
FP,19,GarCL95RtVv_Total,ESG.COFspread,1.0
FP,20,DepEurVvB_Total,ESG.COFspread,1.0
FP,21,OptEuVvB_Total,ESG.COFspread,1.0
KP,1,EquityVz_Total,ESG.Economies.EUR.NominalSpotRate(Govt._0.5),1.0
KP,2,MixVz_Total,ESG.Economies.EUR.NominalSpotRate(Govt._0.25),1.0
KP,3,RntVz_Total,ESG.Economies.EUR.NominalSpotRate(Govt._1),1.0
KP,4,AEGON_Staatsleningen_Total,ESG.Economies.EUR.NominalSpotRate(Govt._3),1.0
KP,5,EmAsEqVz_Total,ESG.COFspread,1.0
KP,6,EmEurEqVz_Total,ESG.COFspread,1.0
KP,7,GTAAVz_Total,ESG.COFspread,1.0
KP,8,AAAOVzP_Total,ESG.COFspread,1.0
KP,9,WorldComVz_Total,ESG.COFspread,1.0
KP,10,VastgoedFd_Total,ESG.COFspread,1.0
KP,11,WorldEqVz_Total,ESG.COFspread,1.0
KP,12,DepVz_Total,ESG.COFspread,1.0
KP,13,EuEqVz_Total,ESG.COFspread,1.0
KP,14,EmVz_Total,ESG.COFspread,1.0
KP,15,HolEqVz_Total,ESG.COFspread,1.0
KP,16,HypVz_Total,ESG.COFspread,1.0
KP,17,NamEqABVz_Total,ESG.COFspread,1.0
KP,18,PacEqVz_Total,ESG.COFspread,1.0
KP,19,GarCL95RtVv_Total,ESG.COFspread,1.0
KP,20,DepEurVvB_Total,ESG.COFspread,1.0
KP,21,OptEuVvB_Total,ESG.COFspread,1.0
OR,1,EquityVz_Total,ESG.Economies.EUR.NominalSpotRate(Govt._0.5),1.0
OR,2,MixVz_Total,ESG.Economies.EUR.NominalSpotRate(Govt._0.25),1.0
OR,3,RntVz_Total,ESG.Economies.EUR.NominalSpotRate(Govt._1),1.0
OR,4,AEGON_Staatsleningen_Total,ESG.Economies.EUR.NominalSpotRate(Govt._3),1.0
OR,5,EmAsEqVz_Total,ESG.COFspread,1.0
OR,6,EmEurEqVz_Total,ESG.COFspread,1.0
OR,7,GTAAVz_Total,ESG.COFspread,1.0
OR,8,AAAOVzP_Total,ESG.COFspread,1.0
OR,9,WorldComVz_Total,ESG.COFspread,1.0
OR,10,VastgoedFd_Total,ESG.COFspread,1.0
OR,11,WorldEqVz_Total,ESG.COFspread,1.0
OR,12,DepVz_Total,ESG.COFspread,1.0
OR,13,EuEqVz_Total,ESG.COFspread,1.0
OR,14,EmVz_Total,ESG.COFspread,1.0
OR,15,HolEqVz_Total,ESG.COFspread,1.0
OR,16,HypVz_Total,ESG.COFspread,1.0
OR,17,NamEqABVz_Total,ESG.COFspread,1.0
OR,18,PacEqVz_Total,ESG.COFspread,1.0
OR,19,GarCL95RtVv_Total,ESG.COFspread,1.0
OR,20,DepEurVvB_Total,ESG.COFspread,1.0
OR,21,OptEuVvB_Total,ESG.COFspread,1.0
SB,1,EquityVz_Total,ESG.Economies.EUR.NominalSpotRate(Govt._0.5),1.0
SB,2,MixVz_Total,ESG.Economies.EUR.NominalSpotRate(Govt._0.25),1.0
SB,3,RntVz_Total,ESG.Economies.EUR.NominalSpotRate(Govt._1),1.0
SB,4,AEGON_Staatsleningen_Total,ESG.Economies.EUR.NominalSpotRate(Govt._3),1.0
SB,5,EmAsEqVz_Total,ESG.COFspread,1.0
SB,6,EmEurEqVz_Total,ESG.COFspread,1.0
SB,7,GTAAVz_Total,ESG.COFspread,1.0
SB,8,AAAOVzP_Total,ESG.COFspread,1.0
SB,9,WorldComVz_Total,ESG.COFspread,1.0
SB,10,VastgoedFd_Total,ESG.COFspread,1.0
SB,11,WorldEqVz_Total,ESG.COFspread,1.0
SB,12,DepVz_Total,ESG.COFspread,1.0
SB,13,EuEqVz_Total,ESG.COFspread,1.0
SB,14,EmVz_Total,ESG.COFspread,1.0
SB,15,HolEqVz_Total,ESG.COFspread,1.0
SB,16,HypVz_Total,ESG.COFspread,1.0
SB,17,NamEqABVz_Total,ESG.COFspread,1.0
SB,18,PacEqVz_Total,ESG.COFspread,1.0
SB,19,GarCL95RtVv_Total,ESG.COFspread,1.0
SB,20,DepEurVvB_Total,ESG.COFspread,1.0
SB,21,OptEuVvB_Total,ESG.COFspread,1.0
UVL,1,EquityVz_Total,ESG.Economies.EUR.NominalSpotRate(Govt._0.5),1.0
UVL,2,MixVz_Total,ESG.Economies.EUR.NominalSpotRate(Govt._0.25),1.0
UVL,3,RntVz_Total,ESG.Economies.EUR.NominalSpotRate(Govt._1),1.0
UVL,4,AEGON_Staatsleningen_Total,ESG.Economies.EUR.NominalSpotRate(Govt._3),1.0
UVL,5,EmAsEqVz_Total,ESG.COFspread,1.0
UVL,6,EmEurEqVz_Total,ESG.COFspread,1.0
UVL,7,GTAAVz_Total,ESG.COFspread,1.0
UVL,8,AAAOVzP_Total,ESG.COFspread,1.0
UVL,9,WorldComVz_Total,ESG.COFspread,1.0
UVL,10,VastgoedFd_Total,ESG.COFspread,1.0
UVL,11,WorldEqVz_Total,ESG.COFspread,1.0
UVL,12,DepVz_Total,ESG.COFspread,1.0
UVL,13,EuEqVz_Total,ESG.COFspread,1.0
UVL,14,EmVz_Total,ESG.COFspread,1.0
UVL,15,HolEqVz_Total,ESG.COFspread,1.0
UVL,16,HypVz_Total,ESG.COFspread,1.0
UVL,17,NamEqABVz_Total,ESG.COFspread,1.0
UVL,18,PacEqVz_Total,ESG.COFspread,1.0
UVL,19,GarCL95RtVv_Total,ESG.COFspread,1.0
UVL,20,DepEurVvB_Total,ESG.COFspread,1.0
UVL,21,OptEuVvB_Total,ESG.COFspread,1.0
