tarcd,indicator,acq_exp_freq,acq_exp_alloc,ren_exp_pp_freq,ren_exp_pup_freq,ren_exp_alloc,comm_pp_freq,comm_pup_freq,comm_alloc,riskprem_freq,riskprem_alloc,mngmt_freq,mngmt_alloc,aankoop_kst,verkoop_kst,mngmt_cmpny_pc,mngmt_cmpny_pc_2,defer_period,init_comp_mort,ren_comp_mort,ind_survprof_surr,ind_savprem_surr,ind_autoswitch,switch_term_start,guarantee_pc,exp_init_ex_moira,perc_fund,man_fee_am_iss_dat,mat_charge_fixed,pup_si_mult,dth_ded_mth_fnd,dth_ded_elapsed_mth,dth_ded_perc_term,dth_ded_perc_fixed,dth_ded_perc_max,costs_perc_sav_prem,mcev_spaar_trad_ind
samenzeker_T,"",M,VALUE,M,M,VALUE,M,M,VALUE,M,VALUE,M,VALUE,0.02,0.0,0.0054,"",0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,"","","","","","","","","","","",""
spaareffect_C,"",M,VALUE,M,M,VALUE,M,M,VALUE,M,VALUE,M,VALUE,0.02,0.0,0.0054,"",0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,"","","","","","","","","","","",""
spaareffect_K,"",M,VALUE,M,M,VALUE,M,M,VALUE,M,VALUE,M,VALUE,0.02,0.0,0.0054,"",0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,"","","","","","","","","","","",""
spaareffect_P,"",M,VALUE,M,M,VALUE,M,M,VALUE,M,VALUE,M,VALUE,0.02,0.0,0.0054,"",0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,"","","","","","","","","","","",""
spaareffect_T,"",M,VALUE,M,M,VALUE,M,M,VALUE,M,VALUE,M,VALUE,0.02,0.0,0.0054,"",0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,"","","","","","","","","","","",""
spaarlift_exnvg_16_C,"",M,VALUE,M,M,VALUE,M,M,VALUE,M,VALUE,M,VALUE,0.02,0.0,0.0054,"",0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,"","","","","","","","","","","",""
spaarlift_exnvg_16_K,"",M,VALUE,M,M,VALUE,M,M,VALUE,M,VALUE,M,VALUE,0.02,0.0,0.0054,"",0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,"","","","","","","","","","","",""
spaarlift_exnvg_16_P,"",M,VALUE,M,M,VALUE,M,M,VALUE,M,VALUE,M,VALUE,0.02,0.0,0.0054,"",0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,"","","","","","","","","","","",""
spaarlift_exnvg_16_T,"",M,VALUE,M,M,VALUE,M,M,VALUE,M,VALUE,M,VALUE,0.02,0.0,0.0054,"",0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,"","","","","","","","","","","",""
spaarlift_exnvg_17_C,"",M,VALUE,M,M,VALUE,M,M,VALUE,M,VALUE,M,VALUE,0.02,0.0,0.0054,"",0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,"","","","","","","","","","","",""
spaarlift_exnvg_17_K,"",M,VALUE,M,M,VALUE,M,M,VALUE,M,VALUE,M,VALUE,0.02,0.0,0.0054,"",0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,"","","","","","","","","","","",""
spaarlift_exnvg_17_P,"",M,VALUE,M,M,VALUE,M,M,VALUE,M,VALUE,M,VALUE,0.02,0.0,0.0054,"",0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,"","","","","","","","","","","",""
spaarlift_exnvg_17_T,"",M,VALUE,M,M,VALUE,M,M,VALUE,M,VALUE,M,VALUE,0.02,0.0,0.0054,"",0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,"","","","","","","","","","","",""
spaarlift_exnvg_18_C,"",M,VALUE,M,M,VALUE,M,M,VALUE,M,VALUE,M,VALUE,0.02,0.0,0.0054,"",0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,"","","","","","","","","","","",""
spaarlift_exnvg_18_K,"",M,VALUE,M,M,VALUE,M,M,VALUE,M,VALUE,M,VALUE,0.02,0.0,0.0054,"",0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,"","","","","","","","","","","",""
spaarlift_exnvg_18_P,"",M,VALUE,M,M,VALUE,M,M,VALUE,M,VALUE,M,VALUE,0.02,0.0,0.0054,"",0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,"","","","","","","","","","","",""
spaarlift_exnvg_18_T,"",M,VALUE,M,M,VALUE,M,M,VALUE,M,VALUE,M,VALUE,0.02,0.0,0.0054,"",0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,"","","","","","","","","","","",""
spaarzeker_C,"",M,VALUE,M,M,VALUE,M,M,VALUE,M,VALUE,M,VALUE,0.02,0.0,0.0054,"",0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,"","","","","","","","","","","",""
spaarzeker_K,"",M,VALUE,M,M,VALUE,M,M,VALUE,M,VALUE,M,VALUE,0.02,0.0,0.0054,"",0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,"","","","","","","","","","","",""
spaarzeker_P,"",M,VALUE,M,M,VALUE,M,M,VALUE,M,VALUE,M,VALUE,0.02,0.0,0.0054,"",0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,"","","","","","","","","","","",""
spaarzeker_T,"",M,VALUE,M,M,VALUE,M,M,VALUE,M,VALUE,M,VALUE,0.02,0.0,0.0054,"",0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,"","","","","","","","","","","",""
tariefplus_C,"",M,VALUE,M,M,VALUE,M,M,VALUE,M,VALUE,M,VALUE,0.02,0.0,0.0054,"",0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,"","","","","","","","","","","",""
tariefplus_K,"",M,VALUE,M,M,VALUE,M,M,VALUE,M,VALUE,M,VALUE,0.02,0.0,0.0054,"",0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,"","","","","","","","","","","",""
tariefplus_P,"",M,VALUE,M,M,VALUE,M,M,VALUE,M,VALUE,M,VALUE,0.02,0.0,0.0054,"",0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,"","","","","","","","","","","",""
tariefplus_T,"",M,VALUE,M,M,VALUE,M,M,VALUE,M,VALUE,M,VALUE,0.02,0.0,0.0054,"",0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,"","","","","","","","","","","",""
welvaartspolis_C,"",M,VALUE,M,M,VALUE,M,M,VALUE,M,VALUE,M,VALUE,0.02,0.0,0.0054,"",0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,"","","","","","","","","","","",""
welvaartspolis_K,"",M,VALUE,M,M,VALUE,M,M,VALUE,M,VALUE,M,VALUE,0.02,0.0,0.0054,"",0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,"","","","","","","","","","","",""
welvaartspolis_P,"",M,VALUE,M,M,VALUE,M,M,VALUE,M,VALUE,M,VALUE,0.02,0.0,0.0054,"",0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,"","","","","","","","","","","",""
welvaartspolis_T,"",M,VALUE,M,M,VALUE,M,M,VALUE,M,VALUE,M,VALUE,0.02,0.0,0.0054,"",0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,"","","","","","","","","","","",""
