keyfield,postid,product,group,fondscd,unitaant,garkap,belegprc,prodboomcd,tarcd,unitsavprt,unitsrv_pp,unitext_bp,recordno
608319330,608319330,FUND,AXENT,003,482.26619999999997,13279,100.0,SCHAKELSPAAR,SCHAKELSPAAR,476.6846,5.5816,0.0,150
608319390,608319390,FUND,AXENT,002,172.0027,5533,100.0,SCHAKELSPAAR,SCHAKELSPAAR,162.9016,9.1011,0.0,151
608319580,608319580,FUND,AXENT,012,380.50410000000005,0,100.0,SCHAKELSPAAR,SCHAKELSPAAR,377.886,2.6181,0.0,152
608319590,608319590,FUND,AXENT,012,3704.5018,0,100.0,SCHAKELSPAAR,SCHAKELSPAAR,3660.822,43.6798,0.0,153
608319690,608319690,FUND,AXENT,012,1564.2172,0,100.0,SCHAKELSPAAR,SCHAKELSPAAR,1541.8395,22.3777,0.0,154
608319800,608319800,FUND,AXENT,012,1901.9856,0,100.0,SCHAKELSPAAR,SCHAKELSPAAR,1875.3512,26.6344,0.0,155
608319830,608319830,FUND,AXENT,012,1625.7955,0,100.0,SCHAKELSPAAR,SCHAKELSPAAR,1543.8273,81.9682,0.0,156
608319840,608319840,FUND,AXENT,012,1669.0112,0,100.0,SCHAKELSPAAR,SCHAKELSPAAR,1648.2664,20.7448,0.0,157
608319870,608319870,FUND,AXENT,003,503.3818,13891,100.0,SCHAKELSPAAR,SCHAKELSPAAR,500.8118,2.57,0.0,158
608319880,608319880,FUND,AXENT,003,483.8798,13248,100.0,SCHAKELSPAAR,SCHAKELSPAAR,478.0626,5.8172,0.0,159
608319890,608319890,FUND,AXENT,003,352.3639,7162,100.0,SCHAKELSPAAR,SCHAKELSPAAR,348.9887,3.3752,0.0,160
608319940,608319940,FUND,AXENT,003,248.85299999999998,6894,100.0,SCHAKELSPAAR,SCHAKELSPAAR,247.3404,1.5126,0.0,161
608319960,608319960,FUND,AXENT,003,153.5161,2381,100.0,SCHAKELSPAAR,SCHAKELSPAAR,152.2873,1.2288,0.0,162
608320130,608320130,FUND,AXENT,002,306.7131,12813,100.0,SCHAKELSPAAR,SCHAKELSPAAR,305.008,1.7051,0.0,163
608320210,608320210,FUND,AXENT,003,720.8455,19940,100.0,SCHAKELSPAAR,SCHAKELSPAAR,716.1915,4.654,0.0,164
608320300,608320300,FUND,AXENT,003,365.82939999999996,6853,100.0,SCHAKELSPAAR,SCHAKELSPAAR,359.9079,5.9215,0.0,165
608320380,608320380,FUND,AXENT,003,495.1894,13707,100.0,SCHAKELSPAAR,SCHAKELSPAAR,491.7559,3.4335,0.0,166
608320420,608320420,FUND,AXENT,003,485.8778,12824,100.0,SCHAKELSPAAR,SCHAKELSPAAR,477.8032,8.0746,0.0,167
608320460,608320460,FUND,AXENT,003,485.0844,11944,100.0,SCHAKELSPAAR,SCHAKELSPAAR,474.3958,10.6886,0.0,168
608320540,608320540,FUND,AXENT,002,493.609,20120,100.0,SCHAKELSPAAR,SCHAKELSPAAR,490.6085,3.0005,0.0,169
608320560,608320560,FUND,AXENT,003,452.9467,9874,100.0,SCHAKELSPAAR,SCHAKELSPAAR,437.576,15.3707,0.0,170
608320570,608320570,FUND,AXENT,003,826.1370000000001,19918,100.0,SCHAKELSPAAR,SCHAKELSPAAR,814.134,12.003,0.0,171
