postid,product,prodbm_cd,group,nb_if,recordno,paid_uppol,no_pol,no_ins,sales_chan,intermed,leg_entity,riderprem,rid_pay_mt,rid_prm_fr,iss_yr,iss_mth,sex_1,age_iss_1,dob_yr_1,dob_mth_1,age_adj_1,sex_2,age_iss_2,dob_yr_2,dob_mth_2,age_adj_2,perstpcd,profit_grp,tarcd,kas,ben_term_k,rid_cd,acc_cov_cd,acc_prem,acc_pay_mt,ris_res,rid_ibnr,rid_age_rs
608498640,SPAARKAS,SCHAKELSPAAR,1,IF,65,N,1,1,ASB,,C,0.0,0.0,M,2001,8,F,29.42,1972,2,0.0,,,,,,N,F,SCHAKELSPAAR,F,360.0,0,0,0.0,0.0,,,
608486750,SPAARKAS,SCHAKELSPAAR,1,IF,66,Y,1,1,ASB,,C,0.0,0.0,M,2001,7,F,31.5,1969,12,0.0,,,,,,N,F,SCHAKELSPAAR,F,360.0,0,0,0.0,0.0,,,
608475450,SPAARKAS,SCHAKELSPAAR,1,IF,67,N,1,1,ASB,,C,0.0,0.0,M,2001,6,M,36.67,1964,9,0.0,,,,,,N,F,SCHAKELSPAAR,F,294.0,0,0,0.0,0.0,,,
608525110,SPAARKAS,SCHAKELSPAAR,1,IF,68,Y,1,1,ASB,,C,0.0,0.0,M,2002,2,M,41.58,1960,6,0.0,,,,,,N,F,SCHAKELSPAAR,F,244.0,0,0,0.0,0.0,,,
608526560,SPAARKAS,SCHAKELSPAAR,1,IF,69,Y,1,1,ASB,,C,0.0,0.0,M,2002,3,M,35.5,1966,8,0.0,,,,,,N,F,SCHAKELSPAAR,F,293.0,0,0,0.0,0.0,,,
608551910,SPAARKAS,SCHAKELSPAAR,1,IF,70,N,1,1,ASB,,C,0.0,0.0,M,2002,7,M,27.58,1974,11,0.0,,,,,,N,F,SCHAKELSPAAR,F,240.0,0,0,0.0,0.0,,,
608325890,SPAARKAS,SCHAKELSPAAR,1,IF,71,N,1,1,ASB,,C,0.0,0.0,Y,1998,1,M,39.08,1958,11,0.0,,,,,,N,F,SCHAKELSPAAR,F,300.0,0,0,0.0,0.0,,,
608552770,SPAARKAS,SCHAKELSPAAR,1,IF,72,Y,1,1,ASB,,C,0.0,0.0,M,2002,9,M,43.42,1959,4,0.0,,,,,,N,F,SCHAKELSPAAR,F,259.0,0,0,0.0,0.0,,,
608553550,SPAARKAS,SCHAKELSPAAR,1,IF,73,N,1,1,ASB,,C,0.0,0.0,M,2002,8,M,31.83,1970,9,0.0,,,,,,N,F,SCHAKELSPAAR,F,313.0,0,0,0.0,0.0,,,
608554150,SPAARKAS,SCHAKELSPAAR,1,IF,74,Y,1,1,ASB,,C,0.0,0.0,M,2002,8,F,16.92,1985,8,0.0,,,,,,N,F,SCHAKELSPAAR,F,240.0,0,0,0.0,0.0,,,
608554580,SPAARKAS,SCHAKELSPAAR,1,IF,75,Y,1,1,MVI,,C,0.0,0.0,M,2002,9,F,36.58,1966,1,0.0,,,,,,N,F,SCHAKELSPAAR,F,348.0,0,0,0.0,0.0,,,
